Person,Die,Roll_Value,Date
will,d20,17,5/20/2015
jeff,d20,13,5/20/2015
mike,d20,7,5/20/2015
mike,d20,8,5/20/2015
will,d20,15,5/20/2015
will,d20,15,5/20/2015
jeff,d20,19,5/20/2015
jeff,d20,4,5/20/2015
mel,d20,7,5/20/2015
will,d20,5,5/20/2015
will,d20,6,5/20/2015
will,d20,13,5/20/2015
mike,d20,15,5/20/2015
jeff,d20,1,5/20/2015
jeff,d20,5,5/20/2015
mike,d20,4,5/20/2015
mike,d20,7,5/20/2015
jeff,d20,4,5/20/2015
jeff,d20,5,5/20/2015
mel ,d20,14,5/20/2015
jeff,d20,11,5/20/2015
mel,d20,9,5/20/2015
mike,d20,19,5/20/2015
will,d20,12,5/20/2015
mike,d20,10,5/20/2015
jeff,d20,9,5/20/2015
mike,d20,15,5/20/2015
will,d20,9,5/20/2015
mike,d20,20,5/28/2015
will,d20,12,5/28/2015
jeff,d20,2,5/28/2015
mike,d20,17,5/28/2015
mike,d20,8,5/28/2015
will,d20,8,5/28/2015
jeff,d20,16,5/28/2015
jeff,d20,17,5/28/2015
will,d20,20,5/28/2015
mike,d20,4,5/28/2015
will,d20,12,5/28/2015
mike,d20,17,5/28/2015
jeff,d20,15,5/28/2015
mike,d20,2,5/28/2015
will,d20,2,5/28/2015
jeff,d20,15,5/28/2015
jeff,d20,16,5/28/2015
mike,d20,7,5/28/2015
will,d20,9,5/28/2015
mel,d20,1,5/28/2015
mike,d20,12,5/28/2015
mike,d20,6,5/28/2015
jeff,d20,5,5/28/2015
jeff,d20,3,5/28/2015
jeff,d20,5,5/28/2015
jeff,d20,5,5/28/2015
jeff,d20,9,5/28/2015
jeff,d20,20,5/28/2015
jeff,d20,16,5/28/2015
mike,d20,18,5/28/2015
will,d20,17,5/28/2015
mike,d20,12,5/28/2015
will,d20,15,5/28/2015
mike,d20,18,5/28/2015
jeff,d20,15,5/28/2015
mike,d20,1,5/28/2015
jeff,d20,9,5/28/2015
jeff,d20,20,5/28/2015
mike,d20,10,5/28/2015
will,d20,19,5/28/2015
mike,d20,12,5/28/2015
mike,d20,9,5/28/2015
mel,d20,8,5/28/2015
mike,d20,1,5/28/2015
mike,d20,7,5/28/2015
mike,d20,4,5/28/2015
mike,d20,7,5/28/2015
mike,d20,6,5/28/2015
mike,d20,8,5/28/2015
mike,d20,19,5/28/2015
mike,d20,16,5/28/2015
mike,d20,18,5/28/2015
mel,d20,12,5/28/2015
mel,d20,4,5/28/2015
jeff,d20,19,5/28/2015
will,d20,15,5/28/2015
will,d20,3,5/28/2015
will,d20,12,5/28/2015
will,d20,13,5/28/2015
will,d20,17,5/28/2015
will,d20,19,5/28/2015
mel,d20,20,5/28/2015
mel,d20,20,5/28/2015
will,d20,16,5/28/2015
will,d20,12,5/28/2015
will,d20,9,5/28/2015
jeff,d20,8,5/28/2015
jeff,d20,11,5/28/2015
mike,d20,2,5/28/2015
will,d20,5,5/28/2015
will,d20,12,5/28/2015
mike,d20,12,5/28/2015
mike,d20,1,5/28/2015
jeff,d20,7,5/28/2015
mike,d20,19,5/28/2015
jeff,d20,12,5/28/2015
jeff,d20,19,5/28/2015
mike,d20,9,5/28/2015
will,d20,20,5/28/2015
mike,d20,5,5/28/2015
mike,d20,2,5/28/2015
jeff,d20,2,5/28/2015
mel,d20,4,5/28/2015
mike,d20,11,5/28/2015
will,d20,9,5/28/2015
will,d20,15,5/28/2015
jeff,d20,17,5/28/2015
jeff,d20,18,5/28/2015
jeff,d20,9,5/28/2015
will,d20,4,5/28/2015
mike,d20,9,5/28/2015
jeff,d20,14,5/28/2015
jeff,d20,3,5/28/2015
jeff,d20,1,5/28/2015
jeff,d20,4,5/28/2015
jeff,d20,5,6/4/2015
will,d20,9,6/4/2015
mel,d20,11,6/4/2015
jeff,d20,1,6/4/2015
mel,d20,18,6/4/2015
jeff,d20,10,6/4/2015
jeff,d20,3,6/4/2015
mel,d20,18,6/4/2015
mel,d20,14,6/4/2015
jeff,d20,16,6/4/2015
mel,d20,7,6/4/2015
mel,d20,14,6/4/2015
jeff,d20,11,6/4/2015
will,d20,16,6/4/2015
jeff,d20,2,6/4/2015
will,d20,14,6/4/2015
will,d20,17,6/4/2015
mel,d20,12,6/4/2015
jeff,d20,6,6/4/2015
mel,d20,1,6/4/2015
mel,d20,13,6/4/2015
will,d20,3,6/4/2015
will,d20,2,6/4/2015
will,d20,11,6/4/2015
mel,d20,6,6/4/2015
jeff,d20,14,6/4/2015
jeff,d20,12,6/4/2015
jeff,d20,16,6/4/2015
mike,d20,20,6/4/2015
mel,d20,11,6/4/2015
jeff,d20,13,6/4/2015
jeff,d20,15,6/4/2015
will,d20,18,6/4/2015
will,d20,18,6/4/2015
jeff,d20,8,6/4/2015
will,d20,4,6/4/2015
jeff,d20,14,6/4/2015
will,d20,18,6/4/2015
will,d20,1,6/4/2015
jeff,d20,12,6/4/2015
mel,d20,1,6/4/2015
mel,d20,19,6/4/2015
mel,d20,6,6/4/2015
jeff,d20,8,6/4/2015
jeff,d20,1,6/4/2015
jeff,d20,8,6/4/2015
jeff,d20,17,6/4/2015
jeff,d20,3,6/4/2015
mel,d20,15,6/4/2015
will,d20,6,6/4/2015
mel,d20,4,6/4/2015
mel,d20,15,6/4/2015
jeff,d20,3,6/4/2015
mike,d20,1,6/4/2015
mel,d20,15,6/4/2015
will,d20,14,6/4/2015
mike,d20,7,6/4/2015
jeff,d20,14,6/4/2015
mel,d20,11,6/4/2015
will,d20,9,6/4/2015
mel,d20,1,6/4/2015
mel,d20,10,6/4/2015
jeff,d20,11,6/4/2015
jeff,d20,18,6/4/2015
mike,d20,2,6/4/2015
mike,d20,12,6/4/2015
mike,d20,1,6/4/2015
will,d20,19,6/4/2015
will,d20,10,6/4/2015
will,d20,9,6/4/2015
jeff,d20,9,6/4/2015
mike,d20,11,6/4/2015
mike,d20,18,6/4/2015
mike,d20,11,6/4/2015
mel,d20,12,6/4/2015
jeff,d20,19,6/4/2015
mike,d20,18,6/4/2015
jeff,d20,13,6/12/2015
mike,d20,17,6/12/2015
mel,d20,7,6/12/2015
jeff,d20,1,6/12/2015
mike,d20,2,6/12/2015
mel,d20,7,6/12/2015
jeff,d20,3,6/12/2015
jeff,d20,1,6/12/2015
mike,d20,20,6/12/2015
mike,d20,7,6/12/2015
mel,d20,10,6/12/2015
mel,d20,14,6/12/2015
mel,d20,10,6/12/2015
mike,d20,8,6/12/2015
mel,d20,20,6/12/2015
jeff,d20,2,6/12/2015
mel,d20,12,6/12/2015
will,d20,11,6/12/2015
mike,d20,14,6/12/2015
jeff,d20,6,6/12/2015
mike,d20,15,6/12/2015
mike,d20,1,6/12/2015
mike,d20,14,6/12/2015
mike,d20,19,6/12/2015
mike,d20,11,6/12/2015
mel,d20,16,6/12/2015
mike,d20,12,6/12/2015
will,d20,12,6/12/2015
will,d20,4,6/12/2015
will,d20,12,6/12/2015
jeff,d20,5,6/12/2015
mike,d20,1,6/12/2015
mike,d20,16,6/12/2015
mike,d20,18,6/12/2015
mike,d20,11,6/12/2015
mike,d20,5,6/12/2015
mike,d20,19,6/12/2015
mike,d20,9,6/12/2015
will,d20,13,6/12/2015
will,d20,17,6/12/2015
jeff,d20,19,6/12/2015
mike,d20,17,6/12/2015
will,d20,17,6/12/2015
jeff,d20,19,6/12/2015
mike,d20,13,6/12/2015
jeff,d20,12,6/12/2015
jeff,d20,1,6/12/2015
jeff,d20,3,6/12/2015
mike,d20,12,6/12/2015
will,d20,6,6/12/2015
jeff,d20,1,6/12/2015
mike,d20,17,6/12/2015
mike,d20,4,6/12/2015
will,d20,18,6/12/2015
jeff,d20,13,6/12/2015
mike,d20,16,6/12/2015
will,d20,12,6/12/2015
jeff,d20,14,6/12/2015
will,d20,16,6/12/2015
mel,d20,18,6/12/2015
mel,d20,3,6/12/2015
jeff,d20,17,6/12/2015
mel,d20,1,6/12/2015
mel,d20,6,6/12/2015
jeff,d20,20,6/12/2015
jeff,d20,1,6/12/2015
jeff,d20,17,6/18/2015
mike,d20,15,6/18/2015
mike,d20,17,6/18/2015
will,d20,3,6/18/2015
will,d20,13,6/18/2015
will,d20,20,6/18/2015
jeff,d20,11,6/18/2015
will,d20,12,6/18/2015
jeff,d20,18,6/18/2015
will,d20,2,6/18/2015
mel,d20,7,6/18/2015
jeff,d20,1,6/18/2015
mel,d20,15,6/18/2015
mel,d20,1,6/18/2015
mel,d20,20,6/18/2015
mike,d20,2,6/18/2015
jeff,d20,7,6/18/2015
jeff,d20,18,6/18/2015
will,d20,6,6/18/2015
mel,d20,3,6/18/2015
mel,d20,17,6/18/2015
jeff,d20,9,6/18/2015
mike,d20,1,6/18/2015
mike,d20,14,6/18/2015
mike,d20,7,6/18/2015
will,d20,18,6/18/2015
mel,d20,6,6/18/2015
mike,d20,9,6/18/2015
will,d20,1,6/18/2015
jeff,d20,13,6/18/2015
will,d20,4,6/18/2015
mel,d20,9,6/18/2015
mike,d20,18,6/18/2015
jeff,d20,6,6/18/2015
mel,d20,7,6/18/2015
will,d20,20,6/18/2015
mike,d20,19,6/18/2015
jeff,d20,3,6/18/2015
mel,d20,18,6/18/2015
will,d20,11,6/18/2015
mike,d20,12,6/18/2015
will,d20,17,6/18/2015
mike,d20,9,6/18/2015
jeff,d20,12,6/18/2015
jeff,d20,4,6/18/2015
jeff,d20,19,6/18/2015
jeff,d20,7,6/18/2015
jeff,d20,3,6/18/2015
